kernels,baseline,linalg,linalg_xdsl,snitch_stream,snrt
matmul 1x24x28xf64,0.60,,0.99,,
matmul 1x24x32xf64,0.60,,1.00,,
matmul 1x24x36xf64,0.61,,1.00,,
matmul 1x24x40xf64,0.62,,1.00,,
matmul 1x24x44xf64,0.63,,1.00,,
matmul 1x24x48xf64,0.63,,1.00,,
matmul 1x24x4xf64,0.59,,0.94,,
matmul 1x24x52xf64,0.65,,1.00,,
matmul 1x24x56xf64,0.65,,1.00,,
matmul 1x24x60xf64,0.65,,1.00,,
matmul 1x24x64xf64,0.66,,1.00,,
matmul 1x24x8xf64,0.59,,0.98,,
matmul 1x28x12xf64,0.59,,0.96,,
matmul 1x28x16xf64,0.59,,0.96,,
matmul 1x28x20xf64,0.60,,0.97,,
matmul 1x28x24xf64,0.60,,0.97,,
matmul 1x28x28xf64,0.60,,0.97,,
matmul 1x28x32xf64,0.62,,1.00,,
matmul 1x28x36xf64,0.62,,1.00,,
matmul 1x28x40xf64,0.62,,1.00,,
matmul 1x28x44xf64,0.64,,1.00,,
matmul 1x28x48xf64,0.64,,1.00,,
matmul 1x28x4xf64,0.59,,0.95,,
matmul 1x28x52xf64,0.66,,1.00,,
matmul 1x28x56xf64,0.66,,1.00,,
matmul 1x28x60xf64,0.66,,1.00,,
matmul 1x28x64xf64,0.67,,1.00,,
matmul 1x28x8xf64,0.59,,0.98,,
matmul 1x32x12xf64,0.58,,0.97,,
matmul 1x32x16xf64,0.59,,0.99,,
matmul 1x32x20xf64,0.60,,0.97,,
matmul 1x32x24xf64,0.60,,0.97,,
matmul 1x32x28xf64,0.60,,0.99,,
matmul 1x32x32xf64,0.61,,0.99,,
matmul 1x32x36xf64,0.62,,1.00,,
matmul 1x32x40xf64,0.63,,1.00,,
matmul 1x32x44xf64,0.65,,1.00,,
matmul 1x32x48xf64,0.65,,1.00,,
matmul 1x32x4xf64,0.59,,0.95,,
matmul 1x32x52xf64,0.66,,1.00,,
matmul 1x32x56xf64,0.66,,1.00,,
matmul 1x32x60xf64,0.66,,1.00,,
matmul 1x32x64xf64,0.68,,1.00,,
matmul 1x32x8xf64,0.59,,0.97,,
matmul 1x36x12xf64,0.95,,0.97,,
matmul 1x36x16xf64,0.97,,0.97,,
matmul 1x36x20xf64,1.00,,0.98,,
matmul 1x36x24xf64,1.00,,0.98,,
matmul 1x36x28xf64,1.00,,0.99,,
matmul 1x36x32xf64,1.00,,1.00,,
matmul 1x36x36xf64,1.00,,1.00,,
matmul 1x36x40xf64,1.00,,1.00,,
matmul 1x36x44xf64,1.00,,1.00,,
matmul 1x36x48xf64,1.00,,1.00,,
matmul 1x36x4xf64,0.89,,0.96,,
matmul 1x36x52xf64,1.00,,1.00,,
matmul 1x36x56xf64,1.00,,1.00,,
matmul 1x36x60xf64,1.00,,1.00,,
matmul 1x36x64xf64,1.00,,1.00,,
matmul 1x36x8xf64,0.94,,0.98,,
matmul 1x40x12xf64,0.98,,0.96,,
matmul 1x40x16xf64,0.98,,0.97,,
matmul 1x40x20xf64,1.00,,0.98,,
matmul 1x40x24xf64,1.00,,0.98,,
matmul 1x40x28xf64,1.00,,0.99,,
matmul 1x40x32xf64,1.00,,1.00,,
matmul 1x40x36xf64,1.00,,1.00,,
matmul 1x40x40xf64,1.00,,1.00,,
matmul 1x40x44xf64,1.00,,1.00,,
matmul 1x40x48xf64,1.00,,1.00,,
matmul 1x40x4xf64,0.98,,0.96,,
matmul 1x40x52xf64,1.00,,1.00,,
matmul 1x40x56xf64,1.00,,1.00,,
matmul 1x40x60xf64,1.00,,1.00,,
matmul 1x40x64xf64,1.00,,1.00,,
matmul 1x40x8xf64,0.98,,0.98,,
matmul 1x44x12xf64,0.98,,0.96,,
matmul 1x44x16xf64,0.98,,0.97,,
matmul 1x44x20xf64,1.00,,0.98,,
matmul 1x44x24xf64,1.00,,0.98,,
matmul 1x44x28xf64,1.00,,0.99,,
matmul 1x44x32xf64,1.00,,1.00,,
matmul 1x44x36xf64,1.00,,1.00,,
matmul 1x44x40xf64,1.00,,1.00,,
matmul 1x44x44xf64,1.00,,1.00,,
matmul 1x44x48xf64,1.00,,1.00,,
matmul 1x44x4xf64,0.98,,0.96,,
matmul 1x44x52xf64,1.00,,1.00,,
matmul 1x44x56xf64,1.00,,1.00,,
matmul 1x44x60xf64,1.00,,1.00,,
matmul 1x44x64xf64,1.00,,1.00,,
matmul 1x44x8xf64,0.98,,0.98,,
matmul 1x48x12xf64,0.98,,0.97,,
matmul 1x48x16xf64,0.98,,0.98,,
matmul 1x48x20xf64,1.00,,0.99,,
matmul 1x48x24xf64,1.00,,0.98,,
matmul 1x48x28xf64,1.00,,0.99,,
matmul 1x48x32xf64,1.00,,1.00,,
matmul 1x48x36xf64,1.00,,1.00,,
matmul 1x48x40xf64,1.00,,1.00,,
matmul 1x48x44xf64,1.00,,1.00,,
matmul 1x48x48xf64,1.00,,1.00,,
matmul 1x48x4xf64,0.98,,0.97,,
matmul 1x48x52xf64,1.00,,1.00,,
matmul 1x48x56xf64,1.00,,1.00,,
matmul 1x48x60xf64,1.00,,1.00,,
matmul 1x48x64xf64,1.00,,1.00,,
matmul 1x48x8xf64,0.98,,0.98,,
matmul 1x4x12xf64,0.66,,0.97,,
matmul 1x4x16xf64,0.67,,0.98,,
matmul 1x4x20xf64,0.67,,0.99,,
matmul 1x4x24xf64,0.67,,0.97,,
matmul 1x4x28xf64,0.68,,0.98,,
matmul 1x4x32xf64,0.67,,0.96,,
matmul 1x4x36xf64,0.67,,0.97,,
matmul 1x4x40xf64,0.67,,0.98,,
matmul 1x4x44xf64,0.67,,0.98,,
matmul 1x4x48xf64,0.68,,0.98,,
matmul 1x4x4xf64,0.49,,0.88,,
matmul 1x4x52xf64,0.68,,0.99,,
matmul 1x4x56xf64,0.68,,0.99,,
matmul 1x4x60xf64,0.68,,0.99,,
matmul 1x4x64xf64,0.68,,1.01,,
matmul 1x4x8xf64,0.52,,0.95,,
matmul 1x52x12xf64,0.98,,0.97,,
matmul 1x52x16xf64,0.98,,0.98,,
matmul 1x52x20xf64,1.00,,0.98,,
matmul 1x52x24xf64,1.00,,0.98,,
matmul 1x52x28xf64,1.00,,0.99,,
matmul 1x52x32xf64,1.00,,1.00,,
matmul 1x52x36xf64,1.00,,1.00,,
matmul 1x52x40xf64,1.00,,1.00,,
matmul 1x52x44xf64,1.00,,1.00,,
matmul 1x52x48xf64,1.00,,1.00,,
matmul 1x52x4xf64,0.97,,0.95,,
matmul 1x52x52xf64,1.00,,1.00,,
matmul 1x52x56xf64,1.00,,1.00,,
matmul 1x52x60xf64,1.00,,1.00,,
matmul 1x52x64xf64,1.00,,1.00,,
matmul 1x52x8xf64,0.98,,0.98,,
matmul 1x56x12xf64,0.98,,0.97,,
matmul 1x56x16xf64,0.98,,0.98,,
matmul 1x56x20xf64,1.00,,0.98,,
matmul 1x56x24xf64,1.00,,0.98,,
matmul 1x56x28xf64,1.00,,0.99,,
matmul 1x56x32xf64,1.00,,1.00,,
matmul 1x56x36xf64,1.00,,1.00,,
matmul 1x56x40xf64,1.00,,1.00,,
matmul 1x56x44xf64,1.00,,1.00,,
matmul 1x56x48xf64,1.00,,1.00,,
matmul 1x56x4xf64,0.98,,0.96,,
matmul 1x56x52xf64,1.00,,1.00,,
matmul 1x56x56xf64,1.00,,1.00,,
matmul 1x56x60xf64,1.00,,1.00,,
matmul 1x56x64xf64,1.00,,1.00,,
matmul 1x56x8xf64,0.98,,0.98,,
matmul 1x60x12xf64,0.99,,0.97,,
matmul 1x60x16xf64,0.99,,0.99,,
matmul 1x60x20xf64,1.00,,0.98,,
matmul 1x60x24xf64,1.00,,0.99,,
matmul 1x60x28xf64,1.00,,0.99,,
matmul 1x60x32xf64,1.00,,1.00,,
matmul 1x60x36xf64,1.00,,1.00,,
matmul 1x60x40xf64,1.00,,1.00,,
matmul 1x60x44xf64,1.00,,1.00,,
matmul 1x60x48xf64,1.00,,1.00,,
matmul 1x60x4xf64,0.98,,0.96,,
matmul 1x60x52xf64,1.00,,1.00,,
matmul 1x60x56xf64,1.00,,1.00,,
matmul 1x60x60xf64,1.00,,1.00,,
matmul 1x60x64xf64,1.00,,1.00,,
matmul 1x60x8xf64,0.98,,0.96,,
matmul 1x64x12xf64,0.99,,0.97,,
matmul 1x64x16xf64,0.99,,0.99,,
matmul 1x64x20xf64,1.00,,0.99,,
matmul 1x64x24xf64,1.00,,0.99,,
matmul 1x64x28xf64,1.00,,0.99,,
matmul 1x64x32xf64,1.00,,1.00,,
matmul 1x64x36xf64,1.00,,1.00,,
matmul 1x64x40xf64,1.00,,1.00,,
matmul 1x64x44xf64,1.00,,1.00,,
matmul 1x64x48xf64,1.00,,1.00,,
matmul 1x64x4xf64,0.98,,0.94,,
matmul 1x64x52xf64,1.00,,1.00,,
matmul 1x64x56xf64,1.00,,1.00,,
matmul 1x64x60xf64,1.00,,1.00,,
matmul 1x64x64xf64,1.00,,1.00,,
matmul 1x64x8xf64,0.99,,0.98,,
matmul 1x8x12xf64,0.63,,0.98,,
matmul 1x8x16xf64,0.63,,0.99,,
matmul 1x8x20xf64,0.63,,0.99,,
matmul 1x8x24xf64,0.62,,0.98,,
matmul 1x8x28xf64,0.63,,0.95,,
matmul 1x8x32xf64,0.63,,0.99,,
matmul 1x8x36xf64,0.63,,0.99,,
matmul 1x8x40xf64,0.63,,1.00,,
matmul 1x8x44xf64,0.63,,1.00,,
matmul 1x8x48xf64,0.63,,1.00,,
matmul 1x8x4xf64,0.53,,0.90,,
matmul 1x8x52xf64,0.63,,1.00,,
matmul 1x8x56xf64,0.63,,1.00,,
matmul 1x8x60xf64,0.63,,1.00,,
matmul 1x8x64xf64,0.63,,1.01,,
matmul 1x8x8xf64,0.54,,0.96,,
matmul 4x12x12xf64,0.63,,0.99,,
matmul 4x12x16xf64,0.63,,1.00,,
matmul 4x12x20xf64,0.62,,1.00,,
matmul 4x12x24xf64,0.62,,1.01,,
matmul 4x12x28xf64,0.62,,1.01,,
matmul 4x12x32xf64,0.62,,1.01,,
matmul 4x12x36xf64,0.62,,1.01,,
matmul 4x12x40xf64,0.62,,1.01,,
matmul 4x12x44xf64,0.63,,1.01,,
matmul 4x12x48xf64,0.63,,1.01,,
matmul 4x12x4xf64,0.57,,0.96,,
matmul 4x12x52xf64,0.63,,1.01,,
matmul 4x12x56xf64,0.63,,1.01,,
matmul 4x12x60xf64,0.63,,1.01,,
matmul 4x12x64xf64,0.63,,1.01,,
matmul 4x12x8xf64,0.64,,0.98,,
matmul 4x16x12xf64,0.62,,0.99,,
matmul 4x16x16xf64,0.62,,1.00,,
matmul 4x16x20xf64,0.61,,1.00,,
matmul 4x16x24xf64,0.61,,1.01,,
matmul 4x16x28xf64,0.61,,1.01,,
matmul 4x16x32xf64,0.62,,1.01,,
matmul 4x16x36xf64,0.62,,1.01,,
matmul 4x16x40xf64,0.63,,1.01,,
matmul 4x16x44xf64,0.63,,1.01,,
matmul 4x16x48xf64,0.63,,1.01,,
matmul 4x16x4xf64,0.57,,0.97,,
matmul 4x16x52xf64,0.64,,1.01,,
matmul 4x16x56xf64,0.64,,1.01,,
matmul 4x16x60xf64,0.64,,1.01,,
matmul 4x16x64xf64,0.65,,1.01,,
matmul 4x16x8xf64,0.63,,0.98,,
matmul 4x20x12xf64,0.61,,0.99,,
matmul 4x20x16xf64,0.61,,1.00,,
matmul 4x20x20xf64,0.60,,1.00,,
matmul 4x20x24xf64,0.60,,1.00,,
matmul 4x20x28xf64,0.61,,1.01,,
matmul 4x20x32xf64,0.62,,1.01,,
matmul 4x20x36xf64,0.62,,1.01,,
matmul 4x20x40xf64,0.61,,1.01,,
matmul 4x20x44xf64,0.63,,1.01,,
matmul 4x20x48xf64,0.63,,1.01,,
matmul 4x20x4xf64,0.64,,0.97,,
matmul 4x20x52xf64,0.67,,1.01,,
matmul 4x20x56xf64,0.67,,1.01,,
matmul 4x20x60xf64,0.67,,1.01,,
matmul 4x20x64xf64,0.71,,1.01,,
matmul 4x20x8xf64,0.62,,0.98,,
matmul 4x24x12xf64,0.61,,1.00,,
matmul 4x24x16xf64,0.61,,1.00,,
matmul 4x24x20xf64,0.61,,1.00,,
matmul 4x24x24xf64,0.66,,1.00,,
matmul 4x24x28xf64,0.66,,1.00,,
matmul 4x24x32xf64,0.61,,1.01,,
matmul 4x24x36xf64,0.62,,1.01,,
matmul 4x24x40xf64,0.61,,1.01,,
matmul 4x24x44xf64,0.68,,1.01,,
matmul 4x24x48xf64,0.68,,1.01,,
matmul 4x24x4xf64,0.64,,0.98,,
matmul 4x24x52xf64,0.69,,1.01,,
matmul 4x24x56xf64,0.69,,1.01,,
matmul 4x24x60xf64,0.69,,1.01,,
matmul 4x24x64xf64,0.68,,1.01,,
matmul 4x24x8xf64,0.62,,0.99,,
matmul 4x28x12xf64,0.64,,1.00,,
matmul 4x28x16xf64,0.63,,1.00,,
matmul 4x28x20xf64,0.63,,1.00,,
matmul 4x28x24xf64,0.63,,1.00,,
matmul 4x28x28xf64,0.63,,1.00,,
matmul 4x28x32xf64,0.61,,1.00,,
matmul 4x28x36xf64,0.61,,1.01,,
matmul 4x28x40xf64,0.64,,1.01,,
matmul 4x28x44xf64,0.66,,1.01,,
matmul 4x28x48xf64,0.66,,1.01,,
matmul 4x28x4xf64,0.65,,0.98,,
matmul 4x28x52xf64,0.64,,1.01,,
matmul 4x28x56xf64,0.64,,1.01,,
matmul 4x28x60xf64,0.64,,1.01,,
matmul 4x28x64xf64,0.67,,1.01,,
matmul 4x28x8xf64,0.64,,0.99,,
matmul 4x32x12xf64,0.97,,1.00,,
matmul 4x32x16xf64,0.98,,1.00,,
matmul 4x32x20xf64,0.92,,1.00,,
matmul 4x32x24xf64,0.92,,1.00,,
matmul 4x32x28xf64,0.92,,1.00,,
matmul 4x32x32xf64,0.92,,1.00,,
matmul 4x32x36xf64,0.92,,1.00,,
matmul 4x32x40xf64,0.93,,1.00,,
matmul 4x32x44xf64,0.93,,1.01,,
matmul 4x32x48xf64,0.93,,1.01,,
matmul 4x32x4xf64,0.97,,0.99,,
matmul 4x32x52xf64,0.93,,1.01,,
matmul 4x32x56xf64,0.93,,1.01,,
matmul 4x32x60xf64,0.93,,1.01,,
matmul 4x32x64xf64,0.94,,1.01,,
matmul 4x32x8xf64,0.96,,1.00,,
matmul 4x36x12xf64,0.99,,1.00,,
matmul 4x36x16xf64,0.99,,1.00,,
matmul 4x36x20xf64,1.00,,1.00,,
matmul 4x36x24xf64,1.00,,1.00,,
matmul 4x36x28xf64,1.00,,1.00,,
matmul 4x36x32xf64,1.00,,1.00,,
matmul 4x36x36xf64,1.00,,1.00,,
matmul 4x36x40xf64,1.00,,1.00,,
matmul 4x36x44xf64,1.00,,1.00,,
matmul 4x36x48xf64,1.00,,1.00,,
matmul 4x36x4xf64,0.96,,0.99,,
matmul 4x36x52xf64,1.00,,1.00,,
matmul 4x36x56xf64,1.00,,1.00,,
matmul 4x36x60xf64,1.00,,1.01,,
matmul 4x36x64xf64,1.00,,1.01,,
matmul 4x36x8xf64,0.99,,1.00,,
matmul 4x40x12xf64,0.99,,1.00,,
matmul 4x40x16xf64,0.99,,1.00,,
matmul 4x40x20xf64,1.00,,1.00,,
matmul 4x40x24xf64,1.00,,1.00,,
matmul 4x40x28xf64,1.00,,1.00,,
matmul 4x40x32xf64,1.00,,1.00,,
matmul 4x40x36xf64,1.00,,1.00,,
matmul 4x40x40xf64,1.00,,1.00,,
matmul 4x40x44xf64,1.00,,1.00,,
matmul 4x40x48xf64,1.00,,1.00,,
matmul 4x40x4xf64,0.98,,0.99,,
matmul 4x40x52xf64,1.00,,1.00,,
matmul 4x40x56xf64,1.00,,1.00,,
matmul 4x40x60xf64,1.00,,1.00,,
matmul 4x40x64xf64,1.00,,1.00,,
matmul 4x40x8xf64,0.99,,1.00,,
matmul 4x44x12xf64,0.99,,1.00,,
matmul 4x44x16xf64,0.99,,1.00,,
matmul 4x44x20xf64,1.00,,1.00,,
matmul 4x44x24xf64,1.00,,1.00,,
matmul 4x44x28xf64,1.00,,1.00,,
matmul 4x44x32xf64,1.00,,1.00,,
matmul 4x44x36xf64,1.00,,1.00,,
matmul 4x44x40xf64,1.00,,1.00,,
matmul 4x44x44xf64,1.00,,1.00,,
matmul 4x44x48xf64,1.00,,1.00,,
matmul 4x44x4xf64,0.99,,0.99,,
matmul 4x44x52xf64,1.00,,1.00,,
matmul 4x44x56xf64,1.00,,1.00,,
matmul 4x44x60xf64,1.00,,1.00,,
matmul 4x44x64xf64,1.00,,1.00,,
matmul 4x44x8xf64,0.99,,1.00,,
matmul 4x48x12xf64,1.00,,1.00,,
matmul 4x48x16xf64,1.00,,1.00,,
matmul 4x48x20xf64,1.00,,1.00,,
matmul 4x48x24xf64,1.00,,1.00,,
matmul 4x48x28xf64,1.00,,1.00,,
matmul 4x48x32xf64,1.00,,1.00,,
matmul 4x48x36xf64,1.00,,1.00,,
matmul 4x48x40xf64,1.00,,1.00,,
matmul 4x48x44xf64,1.00,,1.00,,
matmul 4x48x48xf64,1.00,,1.00,,
matmul 4x48x4xf64,0.99,,0.99,,
matmul 4x48x52xf64,1.00,,1.00,,
matmul 4x48x56xf64,1.00,,1.00,,
matmul 4x48x60xf64,1.00,,1.00,,
matmul 4x48x64xf64,1.00,,1.00,,
matmul 4x48x8xf64,0.99,,1.00,,
matmul 4x4x12xf64,0.68,,0.98,,
matmul 4x4x16xf64,0.68,,0.99,,
matmul 4x4x20xf64,0.68,,1.00,,
matmul 4x4x24xf64,0.68,,1.00,,
matmul 4x4x28xf64,0.68,,1.01,,
matmul 4x4x32xf64,0.68,,1.01,,
matmul 4x4x36xf64,0.68,,1.01,,
matmul 4x4x40xf64,0.68,,1.02,,
matmul 4x4x44xf64,0.68,,1.02,,
matmul 4x4x48xf64,0.68,,1.02,,
matmul 4x4x4xf64,0.51,,0.93,,
matmul 4x4x52xf64,0.68,,1.02,,
matmul 4x4x56xf64,0.68,,1.02,,
matmul 4x4x60xf64,0.68,,1.02,,
matmul 4x4x64xf64,0.68,,1.02,,
matmul 4x4x8xf64,0.53,,0.95,,
matmul 4x52x12xf64,1.00,,1.00,,
matmul 4x52x16xf64,1.00,,1.00,,
matmul 4x52x20xf64,1.00,,1.00,,
matmul 4x52x24xf64,1.00,,1.00,,
matmul 4x52x28xf64,1.00,,1.00,,
matmul 4x52x32xf64,1.00,,1.00,,
matmul 4x52x36xf64,1.00,,1.00,,
matmul 4x52x40xf64,1.00,,1.00,,
matmul 4x52x44xf64,1.00,,1.00,,
matmul 4x52x48xf64,1.00,,1.00,,
matmul 4x52x4xf64,0.99,,0.99,,
matmul 4x52x52xf64,1.00,,1.00,,
matmul 4x52x56xf64,1.00,,1.00,,
matmul 4x52x60xf64,1.00,,1.00,,
matmul 4x52x64xf64,1.00,,1.00,,
matmul 4x52x8xf64,1.00,,1.00,,
matmul 4x56x12xf64,1.00,,1.00,,
matmul 4x56x16xf64,1.00,,1.00,,
matmul 4x56x20xf64,1.00,,1.00,,
matmul 4x56x24xf64,1.00,,1.00,,
matmul 4x56x28xf64,1.00,,1.00,,
matmul 4x56x32xf64,1.00,,1.00,,
matmul 4x56x36xf64,1.00,,1.00,,
matmul 4x56x40xf64,1.00,,1.00,,
matmul 4x56x44xf64,1.00,,1.00,,
matmul 4x56x48xf64,1.00,,1.00,,
matmul 4x56x4xf64,0.99,,0.99,,
matmul 4x56x52xf64,1.00,,1.00,,
matmul 4x56x56xf64,1.00,,1.00,,
matmul 4x56x60xf64,1.00,,1.00,,
matmul 4x56x64xf64,1.00,,1.00,,
matmul 4x56x8xf64,1.00,,1.00,,
matmul 4x60x12xf64,1.00,,1.00,,
matmul 4x60x16xf64,1.00,,1.00,,
matmul 4x60x20xf64,1.00,,1.00,,
matmul 4x60x24xf64,1.00,,1.00,,
matmul 4x60x28xf64,1.00,,1.00,,
matmul 4x60x32xf64,1.00,,1.00,,
matmul 4x60x36xf64,1.00,,1.00,,
matmul 4x60x40xf64,1.00,,1.00,,
matmul 4x60x44xf64,1.00,,1.00,,
matmul 4x60x48xf64,1.00,,1.00,,
matmul 4x60x4xf64,0.99,,0.99,,
matmul 4x60x52xf64,1.00,,1.00,,
matmul 4x60x56xf64,1.00,,1.00,,
matmul 4x60x60xf64,1.00,,1.00,,
matmul 4x60x64xf64,1.00,,1.00,,
matmul 4x60x8xf64,1.00,,1.00,,
matmul 4x64x12xf64,1.00,,1.00,,
matmul 4x64x16xf64,1.00,,1.00,,
matmul 4x64x20xf64,1.00,,1.00,,
matmul 4x64x24xf64,1.00,,1.00,,
matmul 4x64x28xf64,1.00,,1.00,,
matmul 4x64x32xf64,1.00,,1.00,,
matmul 4x64x36xf64,1.00,,1.00,,
matmul 4x64x40xf64,1.00,,1.00,,
matmul 4x64x44xf64,1.00,,1.00,,
matmul 4x64x48xf64,1.00,,1.00,,
matmul 4x64x4xf64,0.99,,0.99,,
matmul 4x64x52xf64,1.00,,1.00,,
matmul 4x64x56xf64,1.00,,1.00,,
matmul 4x64x60xf64,1.00,,1.00,,
matmul 4x64x64xf64,1.00,,1.00,,
matmul 4x64x8xf64,1.00,,1.00,,
matmul 4x8x12xf64,0.63,,0.98,,
matmul 4x8x16xf64,0.63,,0.99,,
matmul 4x8x20xf64,0.63,,1.00,,
matmul 4x8x24xf64,0.63,,1.00,,
matmul 4x8x28xf64,0.63,,1.01,,
matmul 4x8x32xf64,0.63,,1.01,,
matmul 4x8x36xf64,0.63,,1.01,,
matmul 4x8x40xf64,0.63,,1.02,,
matmul 4x8x44xf64,0.63,,1.02,,
matmul 4x8x48xf64,0.63,,1.02,,
matmul 4x8x4xf64,0.57,,0.95,,
matmul 4x8x52xf64,0.68,,1.01,,
matmul 4x8x56xf64,0.68,,1.02,,
matmul 4x8x60xf64,0.68,,1.02,,
matmul 4x8x64xf64,0.63,,1.02,,
matmul 4x8x8xf64,0.55,,0.97,,
matmul 8x12x12xf64,0.63,,1.00,,
matmul 8x12x16xf64,0.63,,1.01,,
matmul 8x12x20xf64,0.62,,1.01,,
